Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12,0.10032562911510468,0.10076180329544944,0.10032562911510468,0.10032562911510468,469033600,0.0,0.0
1980-12-15,0.0955277555324095,0.0955277555324095,0.09509158134460449,0.09509158134460449,175884800,0.0,0.0
1980-12-16,0.08854826203540919,0.08854826203540919,0.08811209350824356,0.08811209350824356,105728000,0.0,0.0
1980-12-17,0.09029289335012436,0.09072906743818974,0.09029289335012436,0.09029289335012436,86441600,0.0,0.0
1980-12-18,0.09291074424982071,0.09334691269059968,0.09291074424982071,0.09291074424982071,73449600,0.0,0.0
1980-12-19,0.09858092665672302,0.09901710076014834,0.09858092665672302,0.09858092665672302,48630400,0.0,0.0
1980-12-22,0.10337884724140167,0.10381580186701178,0.10337884724140167,0.10337884724140167,37363200,0.0,0.0
1980-12-23,0.1077413335442543,0.10817750776327512,0.1077413335442543,0.1077413335442543,46950400,0.0,0.0
1980-12-24,0.1134115532040596,0.11384772738368205,0.1134115532040596,0.1134115532040596,48003200,0.0,0.0
1980-12-26,0.12388050556182861,0.12431667995810308,0.12388050556182861,0.12388050556182861,55574400,0.0,0.0
1980-12-29,0.1256251335144043,0.12606130770935403,0.1256251335144043,0.1256251335144043,93161600,0.0,0.0
1980-12-30,0.12300809281097996,0.12300809281097996,0.12257193028926848,0.1225719302892685,68880000,0.0,0.0
1980-12-31,0.11951872932580031,0.11951872932580031,0.11908255517482759,0.11908255517482758,35750400,0.0,0.0
1981-01-02,0.12039106339216231,0.1212634116753566,0.12039106339216231,0.12039106339216232,21660800,0.0,0.0
1981-01-05,0.1182102319047952,0.1182102319047952,0.1177740693092346,0.11777406930923462,35728000,0.0,0.0
1981-01-06,0.11297536118445362,0.11297536118445362,0.11253918707370758,0.11253918707370758,45158400,0.0,0.0
1981-01-07,0.10817750776327512,0.10817750776327512,0.1077413335442543,0.1077413335442543,55686400,0.0,0.0
1981-01-08,0.10599661417675468,0.10599661417675468,0.10556045174598694,0.10556045174598694,39827200,0.0,0.0
1981-01-09,0.11123071610927582,0.11166689037577791,0.11123071610927582,0.11123071610927582,21504000,0.0,0.0
1981-01-12,0.11123070916140448,0.11123070916140448,0.11035837233066559,0.11035837233066559,23699200,0.0,0.0
1981-01-13,0.10686901451961003,0.10686901451961003,0.10643284022808074,0.10643284022808075,23049600,0.0,0.0
1981-01-14,0.10686896741390227,0.10730514151317473,0.10686896741390227,0.10686896741390228,14291200,0.0,0.0
1981-01-15,0.10904981195926666,0.1099221483956224,0.10904981195926666,0.10904981195926666,14067200,0.0,0.0
1981-01-16,0.10861364224007922,0.10861364224007922,0.10817746818065643,0.10817746818065643,13395200,0.0,0.0
1981-01-19,0.11472001671791077,0.11515619071740144,0.11472001671791077,0.11472001671791077,41574400,0.0,0.0
1981-01-20,0.11166689037577791,0.11166689037577791,0.11123071610927582,0.11123071610927582,30083200,0.0,0.0
1981-01-21,0.1134115532040596,0.11428388991553087,0.1134115532040596,0.1134115532040596,15904000,0.0,0.0
1981-01-22,0.11472001671791077,0.1155923647168921,0.11472001671791077,0.11472001671791077,35548800,0.0,0.0
1981-01-23,0.11472001883615005,0.11515619284369441,0.11428384482860567,0.11428384482860565,11222400,0.0,0.0
1981-01-26,0.11297536118445362,0.11297536118445362,0.11253918707370758,0.11253918707370758,24640000,0.0,0.0
1981-01-27,0.11253925490037542,0.11253925490037542,0.11166691780090332,0.11166691780090332,23699200,0.0,0.0
1981-01-28,0.10861364224007922,0.10861364224007922,0.10817746818065643,0.10817746818065643,28156800,0.0,0.0
1981-01-29,0.10468810270233586,0.10468810270233586,0.104251928627491,0.104251928627491,43904000,0.0,0.0
1981-01-30,0.09945327486357367,0.09945327486357367,0.09858092665672302,0.09858092665672302,46188800,0.0,0.0
1981-02-02,0.09334691269059968,0.09334691269059968,0.09291074424982071,0.09291074424982071,23766400,0.0,0.0
1981-02-03,0.09640008211135864,0.09683625040300688,0.09640008211135864,0.09640008211135864,19152000,0.0,0.0
1981-02-04,0.09988947212696075,0.10032563468374132,0.09988947212696075,0.09988947212696075,27865600,0.0,0.0
1981-02-05,0.09988947212696075,0.1007618088882962,0.09988947212696075,0.09988947212696075,7929600,0.0,0.0
1981-02-06,0.10032562911510468,0.10076180329544944,0.10032562911510468,0.10032562911510468,13865600,0.0,0.0
1981-02-09,0.09596392389632756,0.09596392389632756,0.09509158134460449,0.09509158134460449,16755200,0.0,0.0
1981-02-10,0.09509158134460449,0.0955277555324095,0.09509158134460449,0.09509158134460449,18345600,0.0,0.0
1981-02-11,0.09247458387868128,0.09247458387868128,0.09203841537237167,0.09203841537237167,13843200,0.0,0.0
1981-02-12,0.09160220659688921,0.09160220659688921,0.09116525202989578,0.09116525202989578,14560000,0.0,0.0
1981-02-13,0.0898567576030379,0.0898567576030379,0.088984414935112,0.088984414935112,11155200,0.0,0.0
1981-02-17,0.09116525202989578,0.09160220659688921,0.09116525202989578,0.09116525202989578,12275200,0.0,0.0
1981-02-18,0.09509158134460449,0.09596392389632756,0.09509158134460449,0.09509158134460449,19241600,0.0,0.0
1981-02-19,0.08985676108723659,0.08985676108723659,0.08942058682441711,0.08942058682441711,22310400,0.0,0.0
